article,form,material,color,brand,category,temples_length,lens_width,bridge_width,price,seasonality,gender,age_group
1694-016,круглая,титан,коричневый,Gucci,солнцезащитные,140,46,16,20908,летняя,женский,средний
1695-035,прямоугольная,комбинированный,белый,Lacoste,солнцезащитные,145,48,14,11933,летняя,унисекс,пожилой
1696-020,кошачий_глаз,комбинированный,синий,Valentino,солнцезащитные,135,46,17,36760,летняя,унисекс,молодой
1696-400,квадратная,пластик,коричневый,Tom Ford,оптика,145,46,17,35138,всесезонная,женский,средний
1698-111,круглая,комбинированный,серый,Valentino,солнцезащитные,145,50,16,32234,летняя,мужской,средний
1699MT-06A,кошачий_глаз,пластик,серебряный,Polaroid,оптика,150,48,19,15078,всесезонная,унисекс,средний
1699MT-09A,овальная,титан,черный,Tom Ford,оптика,130,52,15,34764,всесезонная,унисекс,средний
17-212 20,прямоугольная,пластик,серебряный,Prada,солнцезащитные,145,46,20,47834,летняя,женский,молодой
17-223 08,квадратная,комбинированный,серебряный,Ray-Ban,солнцезащитные,135,52,18,13987,летняя,женский,пожилой
17-225 17,кошачий_глаз,титан,золотой,Ray-Ban,оптика,130,50,20,16381,всесезонная,мужской,пожилой
170-GUN,прямоугольная,пластик,черный,Gucci,солнцезащитные,150,54,15,37314,летняя,мужской,средний
1700-277,овальная,пластик,серебряный,Lacoste,оптика,130,46,14,22646,всесезонная,мужской,молодой
1701-203,кошачий_глаз,металл,коричневый,Tom Ford,солнцезащитные,130,54,14,14630,летняя,унисекс,молодой
1703M-C2,овальная,титан,синий,Lacoste,солнцезащитные,140,46,20,3929,летняя,мужской,пожилой
1705-200,квадратная,комбинированный,золотой,Valentino,солнцезащитные,145,50,15,25312,летняя,мужской,пожилой
1705-203,овальная,металл,золотой,Oakley,солнцезащитные,130,48,16,4037,летняя,мужской,молодой
17052-002,круглая,комбинированный,золотой,Tom Ford,солнцезащитные,145,48,15,10368,летняя,мужской,средний
17063-8,квадратная,пластик,черный,Tom Ford,солнцезащитные,150,50,17,38404,летняя,мужской,молодой
17064-002,квадратная,пластик,серый,Polaroid,солнцезащитные,145,54,19,13792,летняя,унисекс,средний
17066-001,прямоугольная,пластик,серый,Prada,солнцезащитные,140,52,15,11338,летняя,мужской,средний
1707-1,кошачий_глаз,металл,коричневый,Gucci,оптика,130,46,20,31746,всесезонная,унисекс,молодой
1707-750,прямоугольная,пластик,синий,Tom Ford,оптика,130,52,20,13112,всесезонная,унисекс,молодой
17072-001,кошачий_глаз,титан,синий,Oakley,солнцезащитные,130,46,15,11583,летняя,мужской,средний
17072-003,кошачий_глаз,комбинированный,серый,Oakley,солнцезащитные,140,48,16,16337,летняя,унисекс,пожилой
17073-001,квадратная,пластик,белый,Ray-Ban,оптика,150,52,14,9932,всесезонная,мужской,молодой
17073-002,овальная,комбинированный,золотой,Lacoste,солнцезащитные,150,54,14,19206,летняя,женский,молодой
17074-001,круглая,титан,серебряный,Valentino,солнцезащитные,135,48,15,19174,летняя,унисекс,средний
17074-002,прямоугольная,пластик,серый,Ray-Ban,солнцезащитные,135,52,19,21054,летняя,унисекс,средний
17078-003,овальная,пластик,серебряный,Polaroid,солнцезащитные,145,46,20,22194,летняя,мужской,средний
17080-002,кошачий_глаз,титан,белый,Polaroid,солнцезащитные,130,54,18,20580,летняя,унисекс,молодой
17086-001,прямоугольная,пластик,серебряный,Valentino,солнцезащитные,130,54,15,29938,летняя,женский,пожилой
17088-002,кошачий_глаз,металл,черный,Prada,солнцезащитные,130,54,15,11732,летняя,унисекс,средний
17088-003,круглая,металл,золотой,Gucci,солнцезащитные,130,52,15,41678,летняя,унисекс,пожилой
1708M-C4,овальная,пластик,синий,Lacoste,оптика,130,46,19,5985,всесезонная,унисекс,средний
1709-345,прямоугольная,комбинированный,серебряный,Valentino,оптика,135,48,15,49310,всесезонная,женский,пожилой
17091-001,кошачий_глаз,комбинированный,серый,Oakley,оптика,150,54,14,7675,всесезонная,мужской,пожилой
17092-001,круглая,титан,белый,Oakley,солнцезащитные,130,46,20,14133,летняя,унисекс,молодой
17094-002,круглая,пластик,белый,Lacoste,оптика,140,48,19,8413,всесезонная,мужской,пожилой
17095-002,овальная,пластик,черный,Gucci,солнцезащитные,150,54,20,49230,летняя,мужской,средний
17096-001,круглая,металл,белый,Valentino,оптика,140,54,16,25638,всесезонная,женский,молодой
17096-002,кошачий_глаз,комбинированный,серый,Polaroid,солнцезащитные,150,54,17,18287,летняя,мужской,средний
171-F-14,квадратная,титан,белый,Oakley,солнцезащитные,150,54,18,8704,летняя,женский,средний
1710-400,прямоугольная,пластик,коричневый,Gucci,солнцезащитные,140,50,14,42356,летняя,мужской,пожилой
171021,квадратная,металл,золотой,Polaroid,солнцезащитные,135,46,16,19197,летняя,унисекс,молодой
17105-001,прямоугольная,пластик,синий,Lacoste,оптика,130,48,20,21032,всесезонная,унисекс,пожилой
17108-001,овальная,комбинированный,коричневый,Oakley,солнцезащитные,150,52,15,21077,летняя,унисекс,молодой
17108-002,круглая,пластик,белый,Gucci,оптика,135,50,17,24966,всесезонная,женский,пожилой
1711-053,прямоугольная,металл,белый,Valentino,солнцезащитные,135,48,15,37520,летняя,женский,пожилой
1711-079,овальная,пластик,золотой,Ray-Ban,оптика,135,52,19,14447,всесезонная,женский,средний
17110-001,квадратная,комбинированный,белый,Valentino,солнцезащитные,135,46,14,11178,летняя,женский,средний
17118-001,кошачий_глаз,комбинированный,коричневый,Lacoste,солнцезащитные,130,48,18,23936,летняя,унисекс,пожилой
1712M-C3,квадратная,пластик,серый,Polaroid,солнцезащитные,145,50,20,3111,летняя,мужской,средний
1712M-C4,прямоугольная,комбинированный,коричневый,Ray-Ban,солнцезащитные,135,52,14,6598,летняя,мужской,пожилой
1713-018,квадратная,титан,синий,Tom Ford,оптика,140,50,16,6450,всесезонная,унисекс,молодой
1713-146,прямоугольная,пластик,черный,Ray-Ban,солнцезащитные,135,50,20,10517,летняя,унисекс,средний
1715-018,кошачий_глаз,пластик,серебряный,Ray-Ban,солнцезащитные,140,54,18,16947,летняя,женский,средний
1716-011,кошачий_глаз,пластик,серебряный,Polaroid,солнцезащитные,140,46,19,23115,летняя,мужской,средний
1716-018,круглая,пластик,белый,Tom Ford,оптика,130,54,14,38260,всесезонная,унисекс,пожилой
1716-414,кошачий_глаз,пластик,черный,Tom Ford,солнцезащитные,130,46,18,49090,летняя,унисекс,средний
1716M-C3,круглая,металл,серый,Ray-Ban,солнцезащитные,145,54,18,7829,летняя,женский,молодой
1717-012,круглая,титан,серый,Gucci,солнцезащитные,135,46,20,12778,летняя,женский,молодой
1717-146,квадратная,пластик,черный,Tom Ford,солнцезащитные,140,46,15,13518,летняя,женский,средний
1718-016,овальная,комбинированный,черный,Valentino,солнцезащитные,140,48,19,8628,летняя,унисекс,молодой
1718-043,круглая,металл,черный,Prada,оптика,150,54,15,47934,всесезонная,женский,молодой
1718-414,кошачий_глаз,пластик,серый,Valentino,оптика,130,46,14,39802,всесезонная,мужской,пожилой
1719-011,квадратная,титан,золотой,Prada,оптика,135,48,18,18994,всесезонная,унисекс,пожилой
1719-146,квадратная,пластик,золотой,Ray-Ban,оптика,150,48,16,6742,всесезонная,мужской,пожилой
1719-414,прямоугольная,пластик,белый,Polaroid,солнцезащитные,145,52,18,10596,летняя,женский,средний
1720-016,кошачий_глаз,комбинированный,серебряный,Tom Ford,солнцезащитные,135,52,15,45262,летняя,унисекс,молодой
1720-414,круглая,комбинированный,черный,Gucci,солнцезащитные,130,48,19,12670,летняя,женский,пожилой
1721-011,круглая,титан,белый,Gucci,оптика,135,50,17,22962,всесезонная,женский,пожилой
1721-146,круглая,комбинированный,серебряный,Ray-Ban,оптика,135,48,20,7539,всесезонная,унисекс,пожилой
1721-414,кошачий_глаз,титан,серый,Tom Ford,солнцезащитные,130,48,14,20614,летняя,мужской,пожилой
1722-016,прямоугольная,титан,золотой,Valentino,оптика,130,48,17,16262,всесезонная,женский,средний
1722-043,прямоугольная,комбинированный,черный,Gucci,оптика,145,54,15,28602,всесезонная,мужской,молодой
1722-414,круглая,металл,серебряный,Gucci,оптика,140,50,18,43448,всесезонная,мужской,молодой
1723M-C2,кошачий_глаз,титан,серебряный,Polaroid,оптика,135,50,17,7782,всесезонная,унисекс,пожилой
1724-011,кошачий_глаз,титан,белый,Polaroid,солнцезащитные,135,46,15,9409,летняя,мужской,молодой
1724-016,кошачий_глаз,металл,коричневый,Polaroid,оптика,130,54,16,21055,всесезонная,мужской,средний
1724-414,овальная,пластик,белый,Oakley,солнцезащитные,150,50,14,22116,летняя,мужской,средний
1725-018,кошачий_глаз,пластик,коричневый,Tom Ford,солнцезащитные,135,48,18,23902,летняя,унисекс,пожилой
1725-043,круглая,комбинированный,коричневый,Tom Ford,оптика,140,52,14,44552,всесезонная,унисекс,пожилой
1725-3,кошачий_глаз,комбинированный,черный,Oakley,оптика,135,48,17,15130,всесезонная,женский,средний
1725-414,овальная,металл,синий,Tom Ford,солнцезащитные,145,46,20,35018,летняя,мужской,молодой
1726-414,прямоугольная,титан,белый,Polaroid,оптика,135,50,19,19024,всесезонная,унисекс,пожилой
1727-050,квадратная,титан,коричневый,Oakley,солнцезащитные,140,50,14,19450,летняя,унисекс,средний
1727-436,квадратная,металл,синий,Valentino,оптика,130,52,14,24556,всесезонная,женский,средний
1727-469,овальная,пластик,синий,Tom Ford,солнцезащитные,130,50,17,9112,летняя,мужской,средний
1727-507,овальная,титан,коричневый,Valentino,оптика,145,48,17,11954,всесезонная,унисекс,пожилой
1728-436,квадратная,комбинированный,серый,Ray-Ban,оптика,135,50,14,4942,всесезонная,мужской,пожилой
1728-690,круглая,металл,черный,Prada,солнцезащитные,145,50,15,17154,летняя,унисекс,пожилой
1728M-09A,прямоугольная,металл,золотой,Oakley,солнцезащитные,135,54,20,14800,летняя,мужской,молодой
173-308,кошачий_глаз,пластик,синий,Valentino,оптика,135,48,14,43076,всесезонная,мужской,средний
1730-020,квадратная,металл,коричневый,Valentino,солнцезащитные,135,50,17,25172,летняя,женский,пожилой
1731-203,круглая,титан,серебряный,Prada,оптика,130,52,15,23284,всесезонная,женский,пожилой
1731-803,кошачий_глаз,титан,золотой,Gucci,солнцезащитные,150,50,17,33244,летняя,мужской,молодой
1733-122,кошачий_глаз,пластик,золотой,Oakley,оптика,140,46,15,14093,всесезонная,унисекс,средний
1733-283,овальная,комбинированный,серый,Ray-Ban,оптика,140,50,20,14535,всесезонная,унисекс,пожилой
1735-09B,прямоугольная,пластик,золотой,Prada,солнцезащитные,150,48,17,16498,летняя,мужской,средний
1735-6,прямоугольная,пластик,черный,Valentino,солнцезащитные,130,50,16,37360,летняя,унисекс,средний
173S-H58,прямоугольная,пластик,синий,Prada,солнцезащитные,130,46,17,10730,летняя,мужской,средний
174-F-5,кошачий_глаз,комбинированный,белый,Prada,оптика,140,54,19,6262,всесезонная,женский,молодой
1741T-05B,квадратная,комбинированный,серебряный,Gucci,солнцезащитные,150,50,19,19692,летняя,мужской,пожилой
1741T-09A,кошачий_глаз,комбинированный,серый,Prada,оптика,135,54,17,27790,всесезонная,женский,молодой
1742-10,кошачий_глаз,титан,золотой,Tom Ford,солнцезащитные,130,46,16,13520,летняя,мужской,средний
1743-07A,круглая,титан,золотой,Lacoste,солнцезащитные,130,50,19,17982,летняя,женский,пожилой
1743-09A,прямоугольная,титан,серебряный,Lacoste,солнцезащитные,135,50,15,15247,летняя,женский,молодой
1745-09A,овальная,титан,белый,Polaroid,оптика,145,52,19,20230,всесезонная,мужской,пожилой
1745-9,прямоугольная,титан,серебряный,Gucci,солнцезащитные,135,46,18,36874,летняя,женский,молодой
1747-001,овальная,комбинированный,серый,Polaroid,солнцезащитные,130,54,17,24305,летняя,мужской,средний
175-GOLD,прямоугольная,пластик,белый,Valentino,солнцезащитные,130,54,18,20708,летняя,женский,средний
175-MARRONE,квадратная,пластик,золотой,Lacoste,оптика,135,48,17,22202,всесезонная,женский,средний
175-PINK,овальная,металл,белый,Prada,оптика,140,48,18,24690,всесезонная,женский,средний
1750T-05A,кошачий_глаз,титан,синий,Valentino,оптика,135,46,14,37470,всесезонная,женский,средний
1751T-05A,круглая,пластик,серый,Oakley,оптика,130,54,20,5381,всесезонная,женский,пожилой
1751T-09A,кошачий_глаз,титан,черный,Ray-Ban,оптика,140,50,19,7074,всесезонная,унисекс,пожилой
1752-001,квадратная,комбинированный,коричневый,Lacoste,солнцезащитные,140,52,19,11654,летняя,женский,молодой
1752-004,овальная,комбинированный,золотой,Prada,оптика,135,50,15,33338,всесезонная,мужской,молодой
1753-002,прямоугольная,титан,серебряный,Polaroid,солнцезащитные,150,46,14,21732,летняя,женский,средний
1753-706,квадратная,пластик,белый,Oakley,оптика,150,52,16,19546,всесезонная,унисекс,пожилой
1754M-02B,овальная,пластик,синий,Tom Ford,солнцезащитные,150,54,18,8434,летняя,женский,пожилой
1755-004,прямоугольная,титан,серебряный,Lacoste,солнцезащитные,145,50,15,20833,летняя,мужской,средний
1755-266,овальная,пластик,белый,Oakley,оптика,135,52,14,8376,всесезонная,унисекс,средний
1756M-06B,квадратная,комбинированный,серебряный,Lacoste,оптика,130,48,14,8244,всесезонная,женский,средний
1756M-09A,кошачий_глаз,титан,синий,Lacoste,солнцезащитные,150,54,14,8828,летняя,мужской,средний
1757M-06B,круглая,металл,черный,Ray-Ban,оптика,145,50,14,8482,всесезонная,мужской,пожилой
1760-002,круглая,пластик,коричневый,Oakley,оптика,130,46,20,19791,всесезонная,женский,молодой
1761-07A,овальная,металл,белый,Gucci,оптика,145,46,17,46616,всесезонная,женский,средний
1762-07A,кошачий_глаз,пластик,золотой,Tom Ford,оптика,145,48,15,47782,всесезонная,мужской,пожилой
1766-050,прямоугольная,пластик,черный,Gucci,оптика,135,54,18,33358,всесезонная,унисекс,средний
1766-079,овальная,пластик,серый,Ray-Ban,солнцезащитные,130,48,17,5503,летняя,мужской,пожилой
1766-436,прямоугольная,металл,золотой,Valentino,оптика,150,52,18,48588,всесезонная,унисекс,средний
1766T-05A,прямоугольная,комбинированный,золотой,Prada,солнцезащитные,130,52,14,24884,летняя,женский,средний
1766T-07A,овальная,металл,серый,Gucci,оптика,130,50,17,15810,всесезонная,унисекс,пожилой
1766T-09A,овальная,комбинированный,серебряный,Valentino,оптика,135,54,16,9134,всесезонная,женский,пожилой
1766T-12A,овальная,пластик,черный,Polaroid,оптика,150,50,14,17038,всесезонная,женский,молодой
1769MT-09A,прямоугольная,комбинированный,серый,Prada,солнцезащитные,140,54,20,19946,летняя,женский,средний
177-F-2,кошачий_глаз,металл,серебряный,Prada,солнцезащитные,135,48,16,24924,летняя,унисекс,молодой
177-F-6,квадратная,пластик,коричневый,Tom Ford,солнцезащитные,140,54,18,39176,летняя,женский,пожилой
177-GOLD,овальная,титан,серый,Prada,солнцезащитные,145,52,20,22206,летняя,унисекс,молодой
17702-1,квадратная,пластик,золотой,Oakley,солнцезащитные,135,54,14,23752,летняя,мужской,пожилой
1773-1,круглая,титан,черный,Tom Ford,оптика,140,50,15,29366,всесезонная,мужской,пожилой
1774MT-12A,овальная,пластик,серебряный,Ray-Ban,оптика,150,54,17,11924,всесезонная,мужской,пожилой
177629,овальная,титан,белый,Gucci,солнцезащитные,140,46,19,49518,летняя,унисекс,средний
1777-750,прямоугольная,металл,серый,Lacoste,оптика,130,54,19,10935,всесезонная,женский,средний
1781-05A,овальная,пластик,черный,Polaroid,оптика,135,54,15,17388,всесезонная,мужской,молодой
1781-06A,прямоугольная,титан,синий,Lacoste,солнцезащитные,135,46,20,11484,летняя,мужской,средний
1782-06A,овальная,титан,черный,Lacoste,оптика,145,46,15,3882,всесезонная,женский,пожилой
1782-09A,квадратная,металл,коричневый,Prada,оптика,150,48,19,21124,всесезонная,женский,пожилой
1783-09A,прямоугольная,металл,серый,Valentino,солнцезащитные,140,50,17,42748,летняя,женский,молодой
1783-09B,квадратная,комбинированный,серебряный,Polaroid,оптика,130,54,14,15704,всесезонная,мужской,пожилой
1784-09A,прямоугольная,титан,черный,Gucci,оптика,135,52,20,15422,всесезонная,унисекс,средний
1788M-09A,круглая,титан,серый,Polaroid,оптика,140,48,20,3580,всесезонная,мужской,молодой
1789M-01A,квадратная,металл,серый,Valentino,оптика,135,50,18,11546,всесезонная,унисекс,средний
1789M-06A,овальная,комбинированный,синий,Gucci,оптика,130,54,18,32892,всесезонная,унисекс,молодой
1791-09A,прямоугольная,металл,синий,Oakley,солнцезащитные,140,52,18,9066,летняя,мужской,средний
1793-01A,прямоугольная,титан,коричневый,Valentino,оптика,135,50,16,10622,всесезонная,унисекс,средний
1793-01B,квадратная,пластик,синий,Tom Ford,оптика,150,46,17,26210,всесезонная,унисекс,средний
1793-09A,круглая,металл,серебряный,Polaroid,оптика,130,48,20,12326,всесезонная,женский,пожилой
1798-03A,круглая,пластик,белый,Prada,солнцезащитные,150,54,18,23548,летняя,унисекс,пожилой
1798-05A,кошачий_глаз,пластик,синий,Ray-Ban,солнцезащитные,130,50,17,11089,летняя,женский,средний
1799M-06A,круглая,пластик,белый,Polaroid,оптика,130,46,19,16138,всесезонная,женский,молодой
180-0349,круглая,металл,черный,Oakley,оптика,130,48,18,14369,всесезонная,мужской,молодой
180-F-9,овальная,комбинированный,золотой,Prada,солнцезащитные,150,52,14,6144,летняя,унисекс,молодой
18008-6,квадратная,металл,серебряный,Lacoste,солнцезащитные,130,46,20,23615,летняя,унисекс,средний
1800T-09A,кошачий_глаз,пластик,черный,Oakley,оптика,130,48,20,22982,всесезонная,мужской,средний
18017-1,прямоугольная,комбинированный,серебряный,Ray-Ban,солнцезащитные,140,48,16,23946,летняя,женский,пожилой
18017-3,кошачий_глаз,титан,синий,Gucci,солнцезащитные,135,54,15,42542,летняя,женский,пожилой
1801T-05A,овальная,титан,серый,Ray-Ban,солнцезащитные,135,52,19,12864,летняя,женский,пожилой
1801T-07A,прямоугольная,пластик,серебряный,Oakley,оптика,150,52,18,7779,всесезонная,женский,средний
1803MT-02A,квадратная,пластик,синий,Polaroid,оптика,145,50,16,21011,всесезонная,женский,молодой
1803MT-09B,круглая,титан,золотой,Ray-Ban,оптика,135,50,17,18244,всесезонная,мужской,пожилой
1805M-06A,круглая,комбинированный,серый,Valentino,оптика,150,52,16,12916,всесезонная,женский,средний
1814-09A,овальная,металл,коричневый,Gucci,солнцезащитные,135,54,16,41114,летняя,женский,средний
181770,овальная,металл,синий,Gucci,солнцезащитные,145,52,20,42062,летняя,мужской,молодой
1827M-09A,кошачий_глаз,титан,коричневый,Lacoste,оптика,130,46,19,13148,всесезонная,мужской,молодой
1832-02A,прямоугольная,комбинированный,коричневый,Valentino,солнцезащитные,145,48,19,22298,летняя,мужской,молодой
1834-02E,овальная,комбинированный,серебряный,Gucci,оптика,135,46,20,27652,всесезонная,унисекс,молодой
1834-09B,прямоугольная,пластик,синий,Tom Ford,оптика,130,50,20,28672,всесезонная,унисекс,средний
1840T-05A,квадратная,комбинированный,золотой,Lacoste,солнцезащитные,150,48,16,18378,летняя,женский,средний
1841T-T01,квадратная,комбинированный,черный,Valentino,оптика,135,54,18,47828,всесезонная,унисекс,пожилой
1842M-01A,круглая,комбинированный,серебряный,Oakley,оптика,130,54,20,9891,всесезонная,женский,пожилой
1844T-07A,квадратная,пластик,белый,Ray-Ban,солнцезащитные,145,50,20,10466,летняя,женский,молодой
1848T-A02,круглая,пластик,золотой,Prada,солнцезащитные,140,50,16,42192,летняя,унисекс,молодой
185-NERO,кошачий_глаз,металл,синий,Oakley,солнцезащитные,130,52,19,20133,летняя,мужской,пожилой
186-BROWN,прямоугольная,пластик,золотой,Valentino,оптика,140,50,18,46602,всесезонная,женский,молодой
187511,овальная,титан,коричневый,Lacoste,солнцезащитные,130,52,16,8969,летняя,мужской,пожилой
187S-SBN,квадратная,комбинированный,серебряный,Oakley,оптика,130,54,17,5451,всесезонная,унисекс,молодой
1886-6,квадратная,комбинированный,серый,Prada,оптика,135,48,14,34020,всесезонная,женский,средний
1888-3,кошачий_глаз,металл,синий,Tom Ford,солнцезащитные,140,54,15,20900,летняя,мужской,пожилой
189-GOLD,прямоугольная,пластик,серый,Prada,оптика,150,52,20,23406,всесезонная,мужской,молодой
19-520,круглая,металл,серый,Tom Ford,оптика,135,46,17,28918,всесезонная,мужской,пожилой
19-580,кошачий_глаз,титан,золотой,Valentino,оптика,140,52,17,28320,всесезонная,мужской,средний
190523,овальная,пластик,золотой,Tom Ford,солнцезащитные,130,50,20,8864,летняя,унисекс,пожилой
19078-1,овальная,металл,белый,Prada,оптика,130,52,19,37896,всесезонная,женский,молодой
19091-1,квадратная,титан,синий,Lacoste,солнцезащитные,140,50,15,9144,летняя,женский,молодой
19091-3,квадратная,металл,серебряный,Ray-Ban,солнцезащитные,135,48,16,8234,летняя,мужской,пожилой
19103-2,квадратная,титан,синий,Polaroid,оптика,140,48,14,15870,всесезонная,мужской,пожилой
19104-1,овальная,металл,белый,Valentino,солнцезащитные,135,54,16,33784,летняя,унисекс,средний
19107-1,круглая,комбинированный,серебряный,Oakley,оптика,150,50,19,12745,всесезонная,мужской,пожилой
19118-1,круглая,пластик,синий,Lacoste,оптика,140,52,16,20992,всесезонная,мужской,средний
19119-1,прямоугольная,пластик,серебряный,Polaroid,солнцезащитные,135,54,17,6708,летняя,унисекс,пожилой
19120-1,кошачий_глаз,титан,коричневый,Oakley,солнцезащитные,135,50,15,15944,летняя,женский,пожилой
19123-3,овальная,пластик,коричневый,Gucci,оптика,130,52,19,49932,всесезонная,мужской,пожилой
19126-4,овальная,комбинированный,черный,Tom Ford,солнцезащитные,145,48,17,35478,летняя,мужской,средний
193-GREY,прямоугольная,титан,синий,Lacoste,солнцезащитные,135,50,16,22772,летняя,женский,пожилой
193-NERO,кошачий_глаз,комбинированный,белый,Valentino,оптика,140,46,16,10502,всесезонная,женский,средний
193-SEA,овальная,титан,синий,Lacoste,солнцезащитные,140,52,18,7600,летняя,унисекс,средний
1935-1,кошачий_глаз,комбинированный,коричневый,Tom Ford,оптика,135,54,15,43076,всесезонная,унисекс,пожилой
195073,квадратная,пластик,черный,Ray-Ban,оптика,140,54,20,11740,всесезонная,мужской,молодой
195710,квадратная,пластик,черный,Prada,оптика,140,50,17,43264,всесезонная,унисекс,пожилой
196-LG,прямоугольная,титан,серебряный,Gucci,солнцезащитные,145,52,18,20916,летняя,женский,молодой
1966-4,прямоугольная,пластик,серый,Gucci,солнцезащитные,150,50,15,35186,летняя,женский,пожилой
197530,прямоугольная,металл,золотой,Oakley,солнцезащитные,150,54,18,11527,летняя,унисекс,молодой
2003-426,овальная,пластик,синий,Valentino,оптика,130,46,19,39066,всесезонная,унисекс,молодой
200310,кошачий_глаз,титан,золотой,Oakley,солнцезащитные,150,50,19,16654,летняя,женский,средний
2004-1,овальная,пластик,коричневый,Lacoste,солнцезащитные,130,48,16,5763,летняя,унисекс,пожилой
2005-BLACK,прямоугольная,пластик,серый,Valentino,оптика,150,52,20,11424,всесезонная,мужской,средний
20061K-VB10,овальная,титан,белый,Oakley,оптика,140,46,18,16156,всесезонная,женский,средний
2007-1,прямоугольная,металл,золотой,Lacoste,оптика,135,54,14,15078,всесезонная,мужской,средний
2008-205,круглая,металл,синий,Lacoste,оптика,150,48,16,18317,всесезонная,женский,молодой
20095K-ND10,кошачий_глаз,комбинированный,коричневый,Polaroid,оптика,130,50,16,14822,всесезонная,мужской,средний
201-BLACK,кошачий_глаз,пластик,белый,Valentino,солнцезащитные,150,52,18,20658,летняя,женский,средний
201-NERO,овальная,металл,серый,Valentino,солнцезащитные,130,54,14,27862,летняя,женский,молодой
2010-3,кошачий_глаз,пластик,золотой,Polaroid,солнцезащитные,135,50,16,5599,летняя,женский,молодой
2011-D GUN,овальная,пластик,золотой,Gucci,оптика,135,54,20,47778,всесезонная,женский,пожилой
20110K-PP09,квадратная,пластик,синий,Gucci,оптика,140,46,16,30590,всесезонная,унисекс,молодой
20111K-ND10,круглая,титан,белый,Prada,оптика,145,48,17,35776,всесезонная,женский,пожилой
20118K-DV07,кошачий_глаз,пластик,коричневый,Tom Ford,оптика,150,52,16,44118,всесезонная,мужской,молодой
20118K-PP09,кошачий_глаз,комбинированный,серебряный,Polaroid,оптика,145,50,16,24107,всесезонная,женский,молодой
2012-01,квадратная,комбинированный,серебряный,Gucci,оптика,130,48,14,45518,всесезонная,женский,молодой
20124K-PP01,кошачий_глаз,комбинированный,коричневый,Gucci,солнцезащитные,135,50,18,33480,летняя,мужской,пожилой
20124K-VD03,овальная,титан,черный,Tom Ford,солнцезащитные,135,54,14,15774,летняя,унисекс,средний
20127K-BD12,квадратная,титан,серебряный,Valentino,солнцезащитные,135,48,14,14278,летняя,мужской,средний
2013-402,квадратная,титан,черный,Ray-Ban,солнцезащитные,130,52,17,12122,летняя,женский,средний
20130K-RD09,квадратная,металл,серый,Ray-Ban,оптика,135,48,18,15543,всесезонная,мужской,средний
2015-BROWN,круглая,металл,коричневый,Prada,солнцезащитные,145,46,16,22588,летняя,мужской,средний
2015-GOLD,круглая,металл,золотой,Polaroid,оптика,140,54,15,6205,всесезонная,унисекс,пожилой
2015-GUN,прямоугольная,пластик,серый,Lacoste,оптика,150,46,18,4543,всесезонная,мужской,пожилой
20156K-PV07,квадратная,комбинированный,черный,Ray-Ban,оптика,140,48,19,7536,всесезонная,унисекс,средний
201610,прямоугольная,титан,серебряный,Ray-Ban,солнцезащитные,140,48,17,11187,летняя,женский,средний
201627,прямоугольная,металл,синий,Polaroid,оптика,150,52,16,9306,всесезонная,женский,средний
20168K-ND08,квадратная,металл,серый,Tom Ford,оптика,150,46,14,6378,всесезонная,мужской,пожилой
201819,кошачий_глаз,пластик,золотой,Tom Ford,оптика,150,48,19,44168,всесезонная,унисекс,средний
2021-BR,круглая,комбинированный,коричневый,Tom Ford,оптика,135,54,18,13026,всесезонная,унисекс,средний
2023002-1,квадратная,пластик,синий,Tom Ford,оптика,145,54,18,15022,всесезонная,мужской,пожилой
2023002-5,прямоугольная,пластик,черный,Lacoste,солнцезащитные,130,50,17,3526,летняя,женский,пожилой
2023003-1,овальная,металл,золотой,Valentino,солнцезащитные,140,48,15,14082,летняя,мужской,молодой
2023003-2,круглая,титан,серебряный,Lacoste,оптика,135,48,17,7585,всесезонная,женский,пожилой
2023003-5,круглая,пластик,черный,Valentino,оптика,140,48,19,38148,всесезонная,мужской,пожилой
2023004-1,прямоугольная,комбинированный,белый,Prada,оптика,140,50,19,30182,всесезонная,унисекс,пожилой
2023004-3,кошачий_глаз,титан,синий,Lacoste,оптика,135,48,17,10300,всесезонная,мужской,пожилой
2023004-5,кошачий_глаз,металл,черный,Gucci,солнцезащитные,130,52,14,47162,летняя,унисекс,средний
2023008-1,овальная,металл,серебряный,Prada,солнцезащитные,140,54,15,23290,летняя,мужской,средний
2023008-2,овальная,пластик,синий,Tom Ford,оптика,150,54,15,14864,всесезонная,мужской,молодой
2023008-5,прямоугольная,пластик,черный,Tom Ford,оптика,135,48,16,23976,всесезонная,мужской,средний
2023009-1,кошачий_глаз,металл,черный,Valentino,оптика,135,46,20,49326,всесезонная,унисекс,средний
2023009-2,круглая,пластик,коричневый,Tom Ford,оптика,135,46,14,6190,всесезонная,женский,молодой
2023010-1,прямоугольная,комбинированный,синий,Valentino,солнцезащитные,150,50,20,39030,летняя,унисекс,молодой
2023010-2,прямоугольная,комбинированный,синий,Tom Ford,солнцезащитные,145,54,15,13328,летняя,женский,молодой
2023013-2,квадратная,металл,коричневый,Polaroid,оптика,140,52,19,18534,всесезонная,женский,пожилой
2023013-4,кошачий_глаз,пластик,коричневый,Prada,оптика,145,54,19,39048,всесезонная,женский,средний
2023016-1,квадратная,титан,белый,Lacoste,оптика,130,50,17,18405,всесезонная,женский,средний
